,estacion,Estado_nieve,Estado,pistas_azules,pistas_negras,pistas_rojas,pistas_verdes,n_pistas,remontes,Snowpark,KM disponibles,KM totales,precio_adultos €,Espesor_nieve cm,lat,long,Familiar
0,Javalambre,Dura,Abierta,9,0.0,1.0,5,18,9,1,4.0,15.0,36.0,110.0,40.11224741452416,-1.0326308232622217,0
1,Punto de Nieve Santa Inés,Polvo,Abierta,1,0.0,0.0,1,2,2,1,1.8,1.8,20.0,90.0,42.03805399097984,-2.7852513732697353,0
2,Valdelinares,Polvo/Dura,Abierta,4,0.0,4.0,6,14,12,1,15.0,17.4,37.5,110.0,40.37982244516945,-0.6324465981285564,0
3,Valdezcaray,desconocido,Abierta,6,2.0,10.0,6,26,9,0,9.55,22.35,28.5,110.0,42.25750179407813,-2.9707287422997446,0
4,Sierra Nevada,Húmeda,Abierta,49,7.0,54.0,18,135,21,1,9.84,111.4,54.0,40.0,37.092935109566326,-3.3995490421322296,1
5,Astún,Polvo,Abierta,18,6.0,22.0,5,61,15,1,28.0,50.0,47.0,185.0,42.80986840508656,-0.5085355682272364,0
6,Candanchú,Polvo,Abierta,12,13.0,16.0,10,51,24,1,25.0,50.5,47.0,180.0,42.78682954346375,-0.5372986032686544,1
7,Cerler,Polvo/Dura,Abierta,19,16.0,27.0,10,72,20,1,41.0,80.0,48.5,80.0,42.58710807199334,0.5404949846915726,0
8,Formigal,Polvo/Dura,Abierta,20,37.0,35.0,6,102,22,1,54.0,143.0,51.0,150.0,42.77526050748526,-0.37153204413912155,1
9,Panticosa,Polvo/Dura,Abierta,16,5.0,17.0,6,45,15,1,16.0,39.0,44.0,135.0,42.721951294877485,-0.280306534906568,1
10,Baqueira Beret,Polvo,Abierta,43,17.0,46.0,5,114,36,1,144.0,167.0,55.0,185.0,42.701038744345084,0.9302647500056956,1
11,Boí Taüll,Polvo,Abierta,3,15.0,18.0,6,42,11,1,18.0,45.0,39.0,40.0,42.477354327571454,0.8696046186538229,0
12,Espot Esquí,Polvo,Abierta,10,4.0,6.0,2,22,5,0,16.0,25.0,35.0,60.0,42.563979640808135,1.0939646037469275,0
13,La Molina,Polvo/Dura,Abierta,19,7.0,22.0,20,68,16,1,51.0,71.0,45.0,70.0,42.336007581258045,1.9421470008676471,0
14,Masella,Polvo/Dura,Abierta,24,10.0,22.0,9,65,17,1,64.0,74.0,45.0,90.0,42.349661920369954,1.9005335509671597,0
15,Port Ainé,Polvo,Abierta,4,4.0,11.0,6,25,7,1,10.0,26.7,35.0,50.0,42.428499739469416,1.2120605288689688,0
16,Port del Comte,Dura,Abierta,12,6.0,13.0,8,39,17,1,26.0,50.0,39.0,50.0,42.17424182578647,1.5626164131359959,0
17,Tavascán,Polvo,Abierta,1,2.0,2.0,2,7,3,1,5.0,6.0,22.0,150.0,42.67787885117363,1.2192785728587647,0
18,Vall de Nuria,Polvo,Abierta,3,2.0,3.0,3,11,5,1,5.0,7.6,35.0,40.0,42.396512288277975,2.1539174046751457,0
19,Vallter 2000,Polvo,Abierta,4,0.0,6.0,3,13,10,1,9.0,13.23,29.0,65.0,42.42698309218322,2.265172727013789,0
20,Alto Campoo,Dura,Abierta,10,0.0,9.0,4,23,12,1,1.25,30.38,34.0,170.0,43.03716036376311,-4.373533115547054,0
21,Fuentes de Invierno,Polvo,Abierta,3,3.0,6.0,3,15,5,1,3.5,8.76,27.0,200.0,43.062687134871226,-5.393149728784516,0
22,Leitariegos,Húmeda,Cerr. Meteo,4,0.0,6.0,3,13,8,1,0.0,8.25,22.0,100.0,42.99411644179962,-6.41430267111372,0
23,Lunada,desconocido,Cerrada,5,2.0,4.0,1,16,7,0,0.0,8.0,18.0,0.0,43.166466154044876,-3.65453399806568,0
24,Manzaneda,desconocido,Uso turístico,13,1.0,8.0,1,23,6,1,0.0,16.75,25.0,0.0,42.27318857701,-7.292478744154411,0
25,San Isidro,Polvo,Abierta,8,4.0,13.0,6,32,15,1,15.4,31.1,30.0,190.0,43.06365877854643,-5.377787607213941,0
26,Valgrande-Pajares,Polvo/Dura,Abierta,10,4.0,14.0,9,37,10,1,2.73,22.5,29.0,195.0,42.97809281982698,-5.775747472969378,0
27,La Pinilla,Húmeda,Cerr. Meteo,6,0.0,13.0,4,23,13,1,0.0,15.57,35.0,30.0,41.20427089716989,-3.4723739825509248,0
28,Puerto de Navacerrada,desconocido,Cerrada,3,0.0,4.0,1,8,6,1,0.0,5.1,32.0,0.0,40.788292103287645,-4.00175878277511,0
29,Sierra de Béjar,desconocido,Cerrada,6,0.0,15.0,3,24,4,1,0.0,20.29,29.0,0.0,40.35422595099979,-5.689898684683406,0
30,Valdesquí,desconocido,Cerrada,16,0.0,5.0,7,28,15,1,0.0,22.24,38.0,0.0,40.79367042446611,-3.9784890130655275,0
